RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
69,15600069,Bailey,472,Spain,Male,43,5,188729.24,2,1,0,99067.85,1
70,15600070,Mitchell,844,Spain,Male,28,7,33930.81,1,0,1,174181.54,0
71,15600071,Jones,590,Germany,Female,28,10,29275.68,2,1,1,125359.44,0
72,15600072,Carter,796,Spain,Male,50,3,161478.64,4,0,1,195660.44,0
73,15600073,Rivera,796,France,Male,29,0,0,1,1,0,48846.4,0
74,15600074,Murphy,755,France,Male,18,1,156278.03,2,1,0,46444.83,0
75,15600075,Baker,480,Spain,Female,49,2,27726.86,4,1,1,138061.1,1
76,15600076,Robinson,451,Germany,Female,28,1,66929.37,2,1,0,195581.8,0
77,15600077,Clark,354,Spain,Male,50,4,0,2,0,0,124177.95,0
78,15600078,Cooper,742,Spain,Male,28,10,33319.34,1,1,0,115915.27,0
79,15600079,Garcia,815,France,Female,39,8,220350.54,2,1,0,51400.69,0
80,15600080,Nelson,845,Germany,Female,41,1,0,2,0,1,193447.05,0
81,15600081,Young,396,Germany,Male,36,5,171478.81,2,1,0,134966.0,0
82,15600082,Reed,802,Germany,Female,42,9,0,2,1,1,23344.54,1
83,15600083,Williams,505,Germany,Male,54,2,103275.0,3,1,0,177077.43,1
84,15600084,Carter,665,France,Female,48,0,0,1,0,1,19880.61,0
85,15600085,Collins,811,Germany,Female,44,1,237762.59,1,0,0,10126.32,1
86,15600086,Martinez,752,Spain,Male,39,8,0,2,1,0,157725.27,0
87,15600087,Clark,789,Germany,Male,19,1,0,1,0,1,3167.5,0
88,15600088,Martinez,729,France,Male,32,1,124299.03,2,0,1,100769.69,0
89,15600089,Williams,722,Germany,Female,18,0,249660.82,1,0,1,142478.24,0
90,15600090,Garcia,514,Spain,Male,43,2,76003.84,2,1,1,198918.13,0
91,15600091,Baker,608,Spain,Male,38,10,166220.0,2,0,1,90313.94,0
92,15600092,Hall,773,France,Female,32,1,85011.6,1,0,1,13436.96,0
93,15600093,Garcia,571,France,Female,41,9,239589.91,2,1,1,174716.37,0
94,15600094,Green,794,Germany,Male,25,4,154098.42,2,0,0,131346.3,0
95,15600095,Miller,529,Germany,Female,43,3,203733.13,4,0,1,5801.66,1
96,15600096,Cox,508,Germany,Female,42,0,0,2,0,0,148191.24,0
97,15600097,Garcia,732,Spain,Female,29,5,84792.97,3,0,0,31124.59,0
98,15600098,Brown,695,France,Female,41,10,111763.55,1,0,0,69039.56,1
99,15600099,Murphy,697,Spain,Female,46,9,0,3,0,1,57895.48,1
100,15600100,Carter,732,France,Male,39,6,0,2,1,0,79418.23,0
101,15600101,Green,359,France,Male,45,9,107061.49,1,1,0,193233.06,1
102,15600102,Reed,585,Germany,Female,27,1,0,1,1,0,79157.36,0
103,15600103,Hall,463,France,Male,49,8,132388.49,1,0,0,20570.52,1
104,15600104,Taylor,658,France,Male,43,2,238310.11,2,1,1,172844.45,0
105,15600105,Wilson,575,France,Female,24,9,23481.31,1,1,0,11388.5,0
106,15600106,Jones,680,Germany,Male,23,9,152579.16,2,0,1,181804.21,0
107,15600107,Thomas,514,Spain,Male,47,5,0,2,0,0,141522.41,0
108,15600108,Parker,617,Spain,Female,34,5,230304.83,2,0,1,13192.69,1
109,15600109,Murphy,547,France,Male,30,2,230019.15,2,1,0,119008.46,0
110,15600110,Robinson,636,France,Female,48,2,170827.94,2,0,1,101699.57,1
111,15600111,Robinson,442,Germany,Female,47,3,0,1,0,0,132384.78,0
112,15600112,Reed,417,Spain,Male,33,2,53403.03,2,0,1,8749.23,0
113,15600113,Cooper,471,Germany,Female,37,3,138162.68,2,1,0,73572.75,0
114,15600114,Adams,586,Germany,Female,19,8,136590.35,2,0,1,10446.54,0
115,15600115,Young,633,Germany,Male,33,4,117836.61,2,0,0,163336.63,0
116,15600116,Johnson,562,France,Female,53,3,0,1,1,0,167830.81,0
117,15600117,Wilson,420,France,Female,35,7,0,1,1,0,166988.25,0
118,15600118,Cooper,661,Spain,Male,31,4,0,1,1,0,22181.04,0
119,15600119,Rogers,624,France,Male,35,0,0,1,0,1,13546.15,0
120,15600120,Mitchell,752,Germany,Male,28,6,0,1,1,1,149460.62,0
121,15600121,Jones,526,France,Male,39,5,42018.3,1,0,1,196156.68,0
122,15600122,Taylor,765,France,Female,20,0,0,1,0,1,186667.95,0
123,15600123,Collins,592,France,Male,32,0,217791.59,1,1,1,177891.89,0
124,15600124,King,523,Germany,Female,56,7,98163.26,1,0,1,15795.47,0
125,15600125,Taylor,629,France,Male,49,4,117019.78,1,1,1,89428.97,0
126,15600126,Allen,664,Germany,Female,44,10,245206.55,1,1,1,102618.98,0
127,15600127,Anderson,837,France,Female,40,10,97918.83,2,0,1,189758.16,0
128,15600128,Cox,389,Spain,Female,37,6,0,3,0,0,99810.84,1
129,15600129,Edwards,410,France,Female,35,9,78538.45,2,0,0,170560.55,0
130,15600130,Rivera,577,Germany,Female,30,10,0,2,1,0,142359.81,0
131,15600131,Cook,439,Germany,Male,41,2,66816.68,1,1,1,160728.58,0
132,15600132,Reed,802,France,Female,41,6,249902.81,2,1,0,25074.54,0
133,15600133,Jones,580,France,Female,50,8,0,3,1,0,166273.86,1
134,15600134,Robinson,434,France,Male,50,5,237395.95,1,0,1,39268.21,0
135,15600135,Clark,414,Spain,Male,30,9,47006.62,2,1,0,165043.07,1
136,15600136,Williams,835,Spain,Female,36,10,60594.01,2,0,1,177793.98,0
137,15600137,Morgan,839,France,Male,42,4,118850.59,1,1,1,92891.14,0
138,15600138,Wilson,510,Germany,Female,22,5,0,1,0,1,48354.53,1
139,15600139,Adams,476,France,Male,34,9,110352.34,3,1,1,37974.77,1
140,15600140,Mitchell,589,France,Female,46,7,15562.31,2,0,0,116669.26,1
141,15600141,Lewis,603,Spain,Female,36,1,113422.66,2,1,1,9059.19,1
142,15600142,Edwards,449,France,Female,38,1,102723.72,2,0,0,195009.52,0
143,15600143,Hall,635,Germany,Male,40,8,0,2,1,1,29796.87,0
144,15600144,Martinez,517,Germany,Female,48,2,104309.1,2,1,1,141746.0,1
145,15600145,Johnson,538,France,Male,50,10,16395.32,3,0,0,116705.09,1
146,15600146,Cook,719,Spain,Female,35,2,0,2,0,0,3798.69,0
147,15600147,Wilson,561,Spain,Female,23,7,219476.25,1,0,0,112178.22,0
148,15600148,Nelson,619,France,Male,36,7,228909.8,1,1,1,38460.74,0
149,15600149,Edwards,502,France,Female,39,7,86089.78,3,1,1,24384.07,0
150,15600150,King,808,Germany,Female,21,2,0,2,1,1,131193.46,0
151,15600151,Moore,453,Germany,Female,51,2,36214.38,1,0,0,127588.31,1
152,15600152,Scott,519,Spain,Male,30,10,0,2,0,1,130577.67,0
153,15600153,Nelson,594,Spain,Female,30,1,0,2,0,0,83580.59,0
154,15600154,Williams,778,France,Female,49,2,234786.1,3,0,0,59684.32,1
155,15600155,Hall,495,France,Female,41,8,0,1,0,1,129656.27,0
156,15600156,Smith,727,France,Female,33,9,0,2,1,1,103057.87,0
157,15600157,Bell,398,France,Male,18,0,0,2,1,1,116492.61,0
158,15600158,Harris,684,France,Male,40,0,170268.67,1,1,0,127741.65,0
159,15600159,Young,664,France,Male,26,9,99669.96,3,0,0,136066.97,0
160,15600160,Garcia,619,France,Female,38,1,0,2,0,0,32915.87,0
161,15600161,Adams,409,Spain,Female,47,0,118823.75,2,0,1,134552.27,0
162,15600162,Johnson,552,France,Male,43,3,0,1,0,0,186910.29,1
163,15600163,Nelson,366,France,Male,39,10,241307.82,2,1,1,75133.51,0
164,15600164,Bell,797,Spain,Female,20,1,52833.67,2,0,0,151233.02,0
165,15600165,Baker,694,Spain,Female,18,3,0,1,0,0,161891.76,0
166,15600166,Howard,829,Germany,Male,33,3,0,1,0,0,148105.65,0
167,15600167,Jackson,626,France,Male,57,3,205788.7,1,1,0,60358.7,1
168,15600168,Bell,616,France,Female,61,4,24629.83,2,0,1,111171.1,1
169,15600169,Allen,832,Spain,Female,38,6,0,1,1,0,169863.54,0
170,15600170,Rivera,423,Germany,Male,28,8,109042.6,2,1,0,51005.84,1
171,15600171,Garcia,822,France,Female,50,3,22368.79,2,0,0,37640.64,0
172,15600172,Cooper,693,Spain,Female,45,3,218673.72,3,0,0,187425.63,0
173,15600173,Davis,732,Germany,Female,50,3,0,1,1,1,93252.77,0
174,15600174,Robinson,483,France,Female,29,7,33665.98,2,1,0,74145.48,0
175,15600175,Stewart,792,France,Male,49,9,148994.3,1,1,0,75972.28,0
176,15600176,Carter,631,Spain,Female,38,4,193206.55,2,1,1,33655.1,0
177,15600177,Anderson,421,Spain,Female,45,10,239736.85,2,0,0,152864.75,0
178,15600178,Cook,468,France,Male,56,0,62492.72,1,1,1,3157.63,0
179,15600179,Scott,356,France,Female,28,8,205157.73,2,0,0,183603.81,0
180,15600180,Lee,448,Spain,Female,35,5,74157.94,1,1,1,113001.22,0
181,15600181,Jackson,503,Spain,Male,25,0,32440.12,2,0,0,140567.19,1
182,15600182,Green,680,Germany,Male,20,8,0,3,1,1,9323.08,1
183,15600183,Clark,810,Spain,Male,45,0,240752.61,2,1,0,59861.24,0
184,15600184,Stewart,777,Germany,Female,54,6,0,4,0,1,10749.84,1
185,15600185,Jones,524,Spain,Female,45,10,75598.49,2,1,1,86372.92,0
186,15600186,Bell,544,France,Female,35,3,0,1,0,1,63341.18,0
187,15600187,Smith,832,France,Female,37,1,54974.03,2,1,0,5263.46,0
188,15600188,Garcia,655,Spain,Female,32,6,12961.75,2,0,0,137061.69,1
189,15600189,Clark,504,France,Male,46,6,81940.54,1,0,1,118761.52,0
190,15600190,Miller,419,France,Female,41,5,211987.21,2,1,1,86126.6,0
191,15600191,Morgan,848,Spain,Female,26,3,0,1,1,1,146972.42,0
192,15600192,Stewart,750,France,Female,58,4,205958.68,1,0,0,136341.09,0
193,15600193,Cooper,586,Germany,Male,29,1,206551.74,1,1,0,126666.69,1
194,15600194,Bell,428,Spain,Female,40,1,117776.01,2,1,0,158140.66,0
195,15600195,Collins,654,Spain,Male,42,10,95202.12,1,1,1,193136.49,0
196,15600196,Smith,400,France,Male,41,7,99788.7,2,0,1,199533.07,0
197,15600197,Lewis,562,Germany,Male,54,2,93598.88,2,1,1,95234.99,0
198,15600198,Bailey,581,France,Female,52,0,0,2,0,0,185978.31,0
199,15600199,Parker,439,Spain,Female,18,3,201461.39,1,1,1,5849.48,0
200,15600200,Thomas,580,Spain,Female,27,0,0,2,0,0,159896.78,0
201,15600201,Young,516,France,Male,35,8,241819.94,1,1,0,69589.86,0
202,15600202,Reed,438,Germany,Female,56,9,151640.41,1,0,1,23399.13,1
203,15600203,Wilson,611,France,Male,27,7,162520.39,2,0,0,97930.63,1
204,15600204,Walker,781,France,Male,32,5,238442.07,1,1,1,81830.64,0
205,15600205,Rivera,780,France,Male,39,3,0,2,0,1,113130.87,0
206,15600206,Carter,631,Spain,Male,38,4,196027.13,1,0,1,109271.8,0
207,15600207,Miller,726,Germany,Male,25,7,73075.65,1,0,0,41983.2,0
208,15600208,Bailey,529,Germany,Female,73,2,157876.29,2,0,1,106457.57,1
209,15600209,Anderson,515,Germany,Female,35,8,246517.19,1,1,0,198489.87,0
210,15600210,Martinez,709,Germany,Male,44,2,180734.76,2,1,1,28443.19,0
211,15600211,Cook,562,France,Male,23,1,106684.19,2,1,1,190044.25,0
212,15600212,Smith,794,Germany,Male,21,7,162361.73,2,1,0,193618.8,0
213,15600213,Carter,487,France,Female,30,9,214581.42,2,0,0,19924.63,0
214,15600214,Baker,358,France,Male,48,7,119564.35,1,0,1,31804.04,0
215,15600215,Clark,397,Spain,Female,49,10,49726.02,1,0,1,131096.11,0
216,15600216,Smith,459,France,Male,44,9,64285.81,1,1,0,197623.69,0
217,15600217,Martinez,594,France,Female,52,1,85204.35,1,0,0,13692.59,0
218,15600218,Reed,682,France,Female,46,3,0,1,1,0,17347.53,1
219,15600219,Cox,413,Spain,Female,30,2,69468.73,1,1,0,169573.81,0
220,15600220,Robinson,455,Spain,Male,45,6,0,2,0,1,77181.32,0
221,15600221,Cook,654,France,Male,60,2,102841.18,1,0,1,190883.95,0
222,15600222,Johnson,650,France,Female,35,3,0,2,1,1,84718.54,0
223,15600223,Cook,624,Spain,Male,35,8,231021.97,1,1,1,117287.81,0
224,15600224,Morgan,698,Spain,Female,45,6,185190.01,1,0,1,23206.68,0
225,15600225,Brown,508,Spain,Male,48,0,49319.83,2,1,0,74378.36,0
226,15600226,Clark,725,Germany,Male,47,5,0,1,0,1,91042.44,0
227,15600227,Carter,789,Spain,Female,46,9,0,2,0,0,171732.98,1
228,15600228,Williams,591,France,Male,51,2,233478.42,2,1,0,64365.84,0
229,15600229,Cooper,513,France,Male,32,10,0,2,0,1,13795.55,0
230,15600230,Lewis,746,Germany,Female,34,1,0,1,1,0,92788.06,0
231,15600231,Carter,745,Germany,Male,50,0,65919.46,2,0,1,303.96,0
232,15600232,Richardson,722,France,Male,55,8,245947.78,3,0,1,18615.13,0
233,15600233,Parker,561,Spain,Female,20,9,0,2,0,0,86999.85,0
234,15600234,Lee,499,France,Female,41,6,178174.15,1,1,0,14947.64,1
235,15600235,Howard,744,Spain,Male,45,5,107563.01,3,0,1,61667.23,1
236,15600236,Davis,396,France,Female,43,9,19679.15,1,0,0,193673.08,0
237,15600237,Brown,696,France,Male,46,7,143428.9,1,0,0,24299.91,1
238,15600238,Howard,463,France,Female,38,5,174708.46,1,1,0,4371.2,1
239,15600239,Morgan,577,Germany,Male,52,5,39406.64,1,1,1,99227.38,0
240,15600240,Green,438,France,Male,26,4,77165.09,1,0,1,99780.37,0
241,15600241,Nelson,381,France,Female,41,8,69795.46,2,0,1,156379.8,0
242,15600242,Collins,750,France,Female,42,6,0,2,0,1,11728.71,0
243,15600243,Parker,533,Germany,Male,41,10,67876.67,2,0,0,115139.01,0
244,15600244,King,531,Germany,Male,36,2,66772.27,2,1,0,140688.72,1
245,15600245,Stewart,638,France,Male,46,7,0,1,0,0,120332.65,1
246,15600246,Nelson,350,France,Male,21,2,0,2,1,0,4393.74,0
247,15600247,Wilson,746,France,Female,46,10,0,1,0,0,146468.0,0
248,15600248,Cook,841,France,Female,34,2,179723.9,2,1,0,133105.2,0
249,15600249,King,507,Spain,Female,48,9,103984.34,3,0,0,120477.81,0
250,15600250,Reed,463,Spain,Male,48,7,43754.41,1,1,0,127236.78,0
251,15600251,Rivera,693,Spain,Female,29,3,176362.26,2,0,0,77191.63,0
252,15600252,Anderson,802,France,Female,39,5,0,2,0,0,90260.44,0
253,15600253,Williams,500,France,Female,40,2,0,1,0,1,118806.34,0
254,15600254,Nelson,710,France,Male,35,9,0,1,0,0,81859.74,0
255,15600255,Cooper,626,France,Female,35,6,147224.75,1,1,0,85524.6,0
256,15600256,Bell,670,Spain,Male,41,1,0,1,0,1,168749.28,0
257,15600257,Wright,591,France,Female,47,2,99044.93,1,0,1,87951.27,0
258,15600258,Clark,638,France,Male,43,1,170353.88,1,0,0,168154.95,0
259,15600259,Scott,844,Spain,Female,30,4,28949.21,2,0,0,189844.41,0
260,15600260,Anderson,847,France,Male,33,2,0,2,0,0,166817.27,0
261,15600261,Cooper,818,Germany,Male,29,5,215589.8,3,0,1,22513.2,1
262,15600262,Stewart,651,Spain,Male,43,1,0,1,1,1,52833.86,0
263,15600263,Stewart,661,France,Male,36,9,173395.09,1,1,0,9868.83,0
264,15600264,Clark,809,France,Female,42,4,84627.83,2,0,0,26886.12,0
265,15600265,Adams,746,Germany,Female,35,1,0,2,1,1,164199.38,0
266,15600266,Anderson,383,France,Female,23,2,197323.94,2,0,0,175030.98,1
267,15600267,Brown,477,France,Male,50,4,98404.46,1,0,0,48394.58,0
268,15600268,Adams,440,Germany,Female,29,9,142320.09,2,1,0,57020.01,1
269,15600269,Anderson,787,Spain,Male,46,10,59615.44,2,0,1,182297.26,0
270,15600270,Rogers,760,France,Female,25,9,203220.54,3,1,1,179091.07,0
271,15600271,Baker,479,France,Female,28,6,0,4,1,1,59701.06,1
272,15600272,Jones,522,Germany,Female,20,4,72675.26,2,1,0,29994.58,0
273,15600273,Brown,762,Germany,Female,28,0,167296.14,1,1,1,77659.15,1
274,15600274,Rivera,642,Germany,Female,24,3,174716.35,2,1,1,169079.28,0
275,15600275,Edwards,442,France,Female,42,8,0,2,1,0,44458.04,1
276,15600276,Robinson,565,Germany,Female,42,5,0,2,1,0,173273.71,0
277,15600277,Reed,386,France,Male,18,6,137161.24,2,0,0,198462.2,0
278,15600278,Stewart,807,Germany,Female,36,2,85932.03,2,1,1,126206.08,1
279,15600279,Cook,379,France,Female,41,9,193476.1,2,0,0,122895.79,0
280,15600280,Wright,569,Germany,Female,53,0,0,1,0,1,151366.67,0
281,15600281,Johnson,696,France,Male,40,4,40943.39,2,0,0,164764.61,0
282,15600282,Lewis,583,Spain,Female,57,6,223113.77,1,1,1,150020.37,1
283,15600283,Wright,359,France,Male,37,8,50556.34,2,0,1,175303.67,0
284,15600284,Collins,669,France,Male,39,10,35947.23,1,0,1,88865.95,0
285,15600285,Harris,592,Spain,Male,32,4,0,2,0,1,166126.26,0
286,15600286,Cooper,666,France,Male,23,1,129457.38,2,0,1,140685.49,0
287,15600287,Williams,630,France,Male,32,3,10657.12,3,1,0,189882.65,0
288,15600288,Jones,720,Spain,Female,26,10,65478.47,1,1,0,19971.46,0
289,15600289,Williams,786,France,Female,32,0,0,2,1,1,178900.02,0
290,15600290,Clark,799,Spain,Female,39,5,53888.66,3,1,1,137978.89,0
291,15600291,Scott,682,Germany,Male,48,0,245576.6,1,1,1,36260.23,0
292,15600292,Allen,663,France,Male,47,7,0,1,0,0,52329.16,0
293,15600293,Rivera,794,Spain,Male,51,5,134583.92,2,1,0,96388.31,0
294,15600294,Morgan,547,France,Male,34,0,0,2,1,0,14983.2,0
295,15600295,Lee,519,Germany,Male,24,6,0,2,1,0,171313.06,0
296,15600296,Davis,604,Spain,Male,36,1,0,2,0,1,178016.76,0
297,15600297,Morgan,693,France,Female,34,3,212636.19,2,1,1,143180.61,1
298,15600298,Cox,687,France,Female,39,5,209172.13,1,1,0,9166.33,1
299,15600299,Martinez,770,Spain,Female,47,3,38978.99,1,0,1,21562.67,0
300,15600300,Cook,778,Spain,Male,45,7,119773.09,2,1,0,106074.32,1
301,15600301,Green,779,Spain,Male,34,2,34852.95,2,1,1,83736.53,0
302,15600302,Bailey,740,France,Female,31,5,242918.0,1,1,1,168610.36,0
303,15600303,Walker,714,Spain,Male,41,4,174786.71,1,0,1,142068.56,0
304,15600304,Edwards,595,Spain,Female,50,10,189488.49,1,1,0,104547.59,1
305,15600305,Wilson,377,Spain,Male,35,4,0,1,1,0,150715.98,1
306,15600306,Adams,402,Spain,Male,54,10,0,2,1,0,185290.85,0
307,15600307,Murphy,510,Germany,Male,44,9,218523.99,1,0,1,151018.7,0
308,15600308,Rogers,450,Germany,Male,37,4,117715.58,1,0,0,75444.02,0
309,15600309,Edwards,485,France,Female,48,2,19585.74,2,1,1,157978.13,0
310,15600310,Jones,751,Spain,Male,37,2,134945.51,1,1,0,69885.5,0
311,15600311,Bell,519,France,Female,40,8,123965.73,2,0,0,133786.5,0
312,15600312,Morgan,664,Germany,Male,53,0,173812.33,3,0,1,51324.79,0
313,15600313,Johnson,816,Spain,Female,25,7,20524.4,1,0,0,33487.34,0
314,15600314,Collins,623,France,Male,35,3,170880.43,2,1,0,41123.57,0
315,15600315,Richardson,746,France,Male,36,7,0,1,0,1,111617.76,0
316,15600316,Jackson,816,France,Female,31,7,161252.14,1,0,0,128283.88,0
317,15600317,Cox,731,Spain,Male,29,4,198854.06,1,1,1,79026.68,0
318,15600318,Nelson,430,Spain,Male,46,6,201224.9,1,0,1,135456.45,0
319,15600319,Cooper,681,France,Male,24,1,20025.55,1,0,1,42018.15,0
320,15600320,Cooper,526,France,Male,32,2,54158.25,1,0,0,134194.35,0
321,15600321,Brown,785,Germany,Female,34,10,0,2,1,1,71432.43,0
322,15600322,Lee,401,France,Male,33,3,86268.62,2,1,0,113111.18,0
323,15600323,Walker,840,France,Male,30,10,114669.78,1,1,1,92572.41,0
324,15600324,Robinson,599,Spain,Male,53,10,155590.64,2,0,0,52653.48,0
325,15600325,Jones,722,France,Male,45,9,148936.19,1,0,1,108695.06,0
326,15600326,Nelson,684,Germany,Female,25,6,63593.6,2,1,0,92942.93,0
327,15600327,Wright,536,Spain,Male,47,9,174198.8,1,0,0,113272.21,0
328,15600328,Wilson,726,Spain,Female,22,0,62516.59,1,1,0,8572.45,0
329,15600329,Young,548,France,Female,39,10,87777.07,2,1,1,115726.82,0
330,15600330,King,684,France,Male,35,8,70380.74,1,1,1,163443.32,0
331,15600331,Nelson,804,Spain,Male,30,8,0,1,1,0,132220.88,0
332,15600332,Hall,718,France,Female,39,7,0,2,0,0,8639.62,0
333,15600333,Anderson,418,Spain,Male,41,2,0,3,0,1,189444.26,1
334,15600334,Rogers,591,Germany,Male,33,3,209287.26,2,0,1,33552.72,0
335,15600335,Baker,655,Spain,Male,33,0,58563.65,2,1,0,121102.22,0
336,15600336,Reed,657,France,Male,40,1,0,2,0,1,104410.45,0
337,15600337,Williams,707,Spain,Male,47,6,94124.28,3,0,1,26785.64,0
338,15600338,Jackson,815,Germany,Female,32,9,220423.92,1,0,0,103954.02,0
339,15600339,Moore,702,Germany,Female,33,10,0,2,1,1,198352.37,0
340,15600340,Moore,561,Spain,Female,41,2,98851.11,1,1,1,154835.69,0
341,15600341,Martinez,787,Germany,Male,36,2,34066.87,2,0,0,77824.88,0
342,15600342,Garcia,771,France,Female,26,1,0,1,0,1,186130.8,0
343,15600343,Morgan,616,France,Male,54,10,0,2,1,0,6732.81,0
344,15600344,Parker,707,France,Male,30,10,0,1,0,0,199355.97,0
345,15600345,Allen,692,France,Male,20,1,230602.58,2,1,1,192650.71,0
346,15600346,Rogers,843,France,Female,35,9,0,2,0,1,67998.27,0
347,15600347,Mitchell,839,France,Female,28,9,0,1,1,1,179299.22,0
348,15600348,Nelson,409,France,Female,18,10,0,2,1,1,191082.47,0
349,15600349,Smith,708,Germany,Male,34,5,28246.92,2,1,0,178857.75,1
350,15600350,Richardson,699,Germany,Male,46,7,0,1,1,0,45848.71,0
351,15600351,Reed,532,France,Male,39,10,0,2,0,1,74243.8,0
